"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 29 09:26:58 GMT 2025","Sat Mar 29 09:27:46 GMT 2025","48164","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Mar 29 09:27:46 GMT 2025","Sat Mar 29 09:27:46 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sat Mar 29 09:27:46 GMT 2025","Sat Mar 29 09:28:03 GMT 2025","16728","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create BuildType without a name",""
"passed","Sat Mar 29 09:28:03 GMT 2025","Sat Mar 29 09:28:17 GMT 2025","13780","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create BuildType",""
"passed","Sat Mar 29 09:25:58 GMT 2025","Sat Mar 29 09:26:48 GMT 2025","49812","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
