"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 07:05:40 GMT 2025","Sat Apr 26 07:05:40 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sat Apr 26 07:05:55 GMT 2025","Sat Apr 26 07:06:10 GMT 2025","14966","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create BuildType",""
"passed","Sat Apr 26 07:03:45 GMT 2025","Sat Apr 26 07:04:35 GMT 2025","49488","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Apr 26 07:05:40 GMT 2025","Sat Apr 26 07:05:55 GMT 2025","15786","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create BuildType without a name",""
"passed","Sat Apr 26 07:04:44 GMT 2025","Sat Apr 26 07:05:39 GMT 2025","55168","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
