"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 29 11:37:25 GMT 2025","Sat Mar 29 11:37:37 GMT 2025","12438","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create BuildType without a name",""
"passed","Sat Mar 29 11:36:31 GMT 2025","Sat Mar 29 11:37:24 GMT 2025","52915","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Mar 29 11:37:24 GMT 2025","Sat Mar 29 11:37:24 GMT 2025","11","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sat Mar 29 11:37:37 GMT 2025","Sat Mar 29 11:37:51 GMT 2025","13714","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create BuildType",""
"passed","Sat Mar 29 11:35:28 GMT 2025","Sat Mar 29 11:36:22 GMT 2025","53557","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
