"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 29 16:43:31 GMT 2025","Sat Mar 29 16:44:24 GMT 2025","53401","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Mar 29 16:45:43 GMT 2025","Sat Mar 29 16:45:56 GMT 2025","13184","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create BuildType",""
"passed","Sat Mar 29 16:45:31 GMT 2025","Sat Mar 29 16:45:43 GMT 2025","12277","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create BuildType without a name",""
"passed","Sat Mar 29 16:45:31 GMT 2025","Sat Mar 29 16:45:31 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sat Mar 29 16:44:34 GMT 2025","Sat Mar 29 16:45:31 GMT 2025","56937","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
